fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,330,FOOD,8000,8000,8000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,423,COMMUNICATION DEVICES,47000,47000,47000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,453,VEHICLES-POLICE,281000,281000,281000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,20,OVERTIME,338000,338000,338000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,44,FRINGE BENEFITS,284629,284629,375753
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,6,SALARY PROVISION,1404553,1404553,466134
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,5,SALARIES AND WAGES - ON PAYROLL,679378,679378,1003418
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,140,PROF & TECHNICAL SERVICES,2526477,2526477,2526477
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2934,2934 - TRANSIT SECURITY GRANT,445,TECH AND SCIENTIFIC EQUIP,2871434,2871434,2871553
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,451,PUR VEHICLES-POL/FIRE,116000,116000,0
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,15,SCHEDULE SALARY ADJ,0,0,1700
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,340,MATERIAL AND SUPPLIES,27600,27600,27600
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,423,COMMUNICATION DEVICES,36000,36000,36000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,450,VEHICLES,0,0,116000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,245,REIMBURSEMENT TRAVELERS,176535,176535,176535
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,445,TECH AND SCIENTIFIC EQUIP,204400,204400,204400
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,44,FRINGE BENEFITS,266087,266087,243046
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,593779,593779,649035
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2976,2976 - TRANSIT SECURITY GRANT PROGRAM,6,SALARY PROVISION,2070599,2070599,1445684
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,446,PURCHASE-DATA HARDWARE,0,0,35000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,445,TECH AND SCIENTIFIC EQUIP,0,0,73000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,423,COMMUNICATION DEVICES,0,0,91000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,450,VEHICLES,0,0,324000
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,44,FRINGE BENEFITS,0,0,393837
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,5,SALARIES AND WAGES - ON PAYROLL,0,0,951297
GRANTS,0P46,US DEPT OF HOMELAND SECURITY,57,DEPARTMENT OF POLICE,2980,2980 - TRANSIT SECURITY,6,SALARY PROVISION,0,0,8931866
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-90615,-90615,0
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,166,DUES  SUBSC & MEM,0,0,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,169,TECHNICAL MEETING COSTS,0,0,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,229,TRAN/EXP ALLOWANCE,0,0,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,15,SCHEDULE SALARY ADJ,7723,7723,12595
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,130,POSTAGE,0,0,15000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,245,REIMBURSEMENT TRAVELERS,0,0,18000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,157,RENTAL EQUIPMENT AND SERVICES,0,0,30000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,162,REPAIR/MAINT EQUIPMENT,0,0,50000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,350,STATIONERY AND OFFICE SUPPL,0,0,65000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,999,CULURL PROG/DELVP GRANT,0,0,70000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,190,TELEPHONE-CENTREX,0,0,85000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,801,INDIRECT COSTS,0,0,100000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,44,FRINGE BENEFITS,478549,478549,465989
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,1298363,1298363,1244389
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2876,2876 - WIA - ADULT PROGRAM,140,PROF & TECHNICAL SERVICES,9013980,9013980,7467027
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-50539,-50539,0
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,15,SCHEDULE SALARY ADJ,3307,3307,4098
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,166,DUES  SUBSC & MEM,0,0,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,169,TECHNICAL MEETING COSTS,0,0,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,229,TRAN/EXP ALLOWANCE,4000,4000,10000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,157,RENTAL EQUIPMENT AND SERVICES,0,0,13000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,162,REPAIR/MAINT EQUIPMENT,0,0,15000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,245,REIMBURSEMENT TRAVELERS,6000,6000,16000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,130,POSTAGE,0,0,20000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,190,TELEPHONE-CENTREX,0,0,85000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,350,STATIONERY AND OFFICE SUPPL,2278,2278,85000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,801,INDIRECT COSTS,0,0,100000
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,44,FRINGE BENEFITS,367936,367936,149431
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,5,SALARIES AND WAGES - ON PAYROLL,974130,974130,396071
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,135,DELEGATE AGENCIES,2369975,2369975,2362853
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2877,2877 - WIA - DISLOCATED WORKER,140,PROF & TECHNICAL SERVICES,6196913,6196913,6921547
GRANTS,0P47,OTHER WIA PROGRAMS,50,FAMILY AND SUPPORT SERVICES,2912,2912 - WIA - LOCAL INCENTIVE FUNDS,135,DELEGATE AGENCIES,540000,540000,710000
GRANTS,0P51,LABOR MGMT. HEALTH CARE SAVINGS,5,OFFICE OF BUDGET & MANAGEMENT,2800,2800 - LABOR MGMT. HEALTH CARE SAVING,140,PROF & TECHNICAL SERVICES,93000,93000,0
GRANTS,0P52,HEALTH IT COORDINATOR,6,DOIT,2800,2800 - HEALTH IT COORDINATOR,140,PROF & TECHNICAL SERVICES,70000,70000,0
GRANTS,0P52,HEALTH IT COORDINATOR,6,DOIT,2800,2800 - HEALTH IT COORDINATOR,44,FRINGE BENEFITS,0,0,27565
GRANTS,0P52,HEALTH IT COORDINATOR,6,DOIT,2800,2800 - HEALTH IT COORDINATOR,5,SALARIES AND WAGES - ON PAYROLL,0,0,42435
GRANTS,0P52,HEALTH IT COORDINATOR,6,DOIT,2821,2821 - STATEWIDE BROADBAND PROGRAM,140,PROF & TECHNICAL SERVICES,1574000,1574000,1574000
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,15,SCHEDULE SALARY ADJ,3066,3066,3186
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,245,REIMBURSEMENT TRAVELERS,3500,3500,3500
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,801,INDIRECT COSTS,25244,25244,26992
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,140,PROF & TECHNICAL SERVICES,100317,100317,32679
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,44,FRINGE BENEFITS,123860,123860,138474
GRANTS,0P53,CPL - FEDERAL GRANTS,91,CHICAGO PUBLIC LIBRARY,2844,2844 - SUBREGIONAL LIBRARY FOR BLIND,5,SALARIES AND WAGES - ON PAYROLL,325013,325013,362169
GRANTS,0P55,CDP - JAG,57,DEPARTMENT OF POLICE,2978,2978 - BYRNE MEMORIAL JAG,245,REIMBURSEMENT TRAVELERS,0,0,2000
GRANTS,0P55,CDP - JAG,57,DEPARTMENT OF POLICE,2978,2978 - BYRNE MEMORIAL JAG,140,PROF & TECHNICAL SERVICES,2652500,2652500,20000
GRANTS,0P55,CDP - JAG,57,DEPARTMENT OF POLICE,2978,2978 - BYRNE MEMORIAL JAG,6,SALARY PROVISION,0,0,119000
GRANTS,0P55,CDP - JAG,57,DEPARTMENT OF POLICE,2978,2978 - BYRNE MEMORIAL JAG,135,DELEGATE AGENCIES,2652500,2652500,1564000
GRANTS,0P55,CDP - JAG,57,DEPARTMENT OF POLICE,2978,2978 - BYRNE MEMORIAL JAG,450,VEHICLES,0,0,3600000
GRANTS,0P60,U.S. DEPT. OF AG. - FOREST SERVICE,72,DEPARTMENT OF ENVIRONMENT,2962,2962 - ECOSYSTEM SERVICES PROJECT,140,PROF & TECHNICAL SERVICES,315000,315000,0
GRANTS,0P60,U.S. DEPT. OF AG. - FOREST SERVICE,88,DEPT OF WATER MANAGEMENT,2806,2806 - INTEGRATED PAYMENTS FOR ECOSYS,140,PROF & TECHNICAL SERVICES,0,0,315000
GRANTS,0P61,DEPT. OF VETERANS AFFAIRS (VHA),50,FAMILY AND SUPPORT SERVICES,2918,2918 - VETERANS HOME AND COMM. PGMS,140,PROF & TECHNICAL SERVICES,3555000,3555000,3555000
GRANTS,0P67,HUD,41,DEPARTMENT OF PUBLIC HEALTH,2719,2719 - HEALTHY HOMES PRODUCTION,1,SALARIES AND WAGES,0,0,59640
GRANTS,0P67,HUD,41,DEPARTMENT OF PUBLIC HEALTH,2719,2719 - HEALTHY HOMES PRODUCTION,801,INDIRECT COSTS,0,0,194036
GRANTS,0P67,HUD,41,DEPARTMENT OF PUBLIC HEALTH,2719,2719 - HEALTHY HOMES PRODUCTION,140,PROF & TECHNICAL SERVICES,0,0,1746324
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,245,REIMBURSEMENT TRAVELERS,0,0,1000
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,340,MATERIAL AND SUPPLIES,0,0,24000
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,445,TECH AND SCIENTIFIC EQUIP,0,0,50000
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,140,PROF & TECHNICAL SERVICES,0,0,180000
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,135,DELEGATE AGENCIES,0,0,1188000
GRANTS,0P68,CPD - U.S. DOJ,57,DEPARTMENT OF POLICE,2985,2985 - BYRNE MEMORIAL JUSTICE ASSIST,450,VEHICLES,0,0,2540000
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,2800 - INNOVATION DELIVERY GRANT,44,FRINGE BENEFITS,0,0,359874
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,2800 - INNOVATION DELIVERY GRANT,5,SALARIES AND WAGES - ON PAYROLL,0,0,900000
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,2800 - INNOVATION DELIVERY GRANT,140,PROF & TECHNICAL SERVICES,6000000,6000000,4740126
GRANTS,0P72,CULTURAL AFFAIRS / SPECIAL EVENTS,23,CULTURAL AFFAIRS SPECIAL EVENT,2836,2836 - ALLSTATE-UPDATE CULTURAL PLAN,140,PROF & TECHNICAL SERVICES,100000,100000,0
GRANTS,0P72,CULTURAL AFFAIRS / SPECIAL EVENTS,23,CULTURAL AFFAIRS SPECIAL EVENT,2837,2837 - TRUST-UPDATE CULTURAL PLAN,801,INDIRECT COSTS,0,0,5000
GRANTS,0P72,CULTURAL AFFAIRS / SPECIAL EVENTS,23,CULTURAL AFFAIRS SPECIAL EVENT,2837,2837 - TRUST-UPDATE CULTURAL PLAN,140,PROF & TECHNICAL SERVICES,0,0,95000
GRANTS,0P72,CULTURAL AFFAIRS / SPECIAL EVENTS,23,CULTURAL AFFAIRS SPECIAL EVENT,2840,2840 - ALLSTATE-UPDATE CULTURAL PLAN,801,INDIRECT COSTS,0,0,5000
GRANTS,0P72,CULTURAL AFFAIRS / SPECIAL EVENTS,23,CULTURAL AFFAIRS SPECIAL EVENT,2840,2840 - ALLSTATE-UPDATE CULTURAL PLAN,140,PROF & TECHNICAL SERVICES,0,0,95000
GRANTS,0S04,ARRA - FEDERAL - BROADBAND,6,DOIT,2817,2817 - ARRA - BTOP SUSTAIN. BROADBD.,140,PROF & TECHNICAL SERVICES,7075000,7075000,7075000
GRANTS,0S06,ARRA - SUPPLEMENTAL IMMUNIZATION,41,DEPARTMENT OF PUBLIC HEALTH,2993,2993 - ARRA - SUPPLEMENTAL IMMUNIZATI,342,DRUGS MED AND CHEM MATL S,500000,500000,0
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,140,PROF & TECHNICAL SERVICES,200829,200829,0
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,15,SCHEDULE SALARY ADJ,1353,1353,5128
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,445,TECH AND SCIENTIFIC EQUIP,1233000,1233000,200000
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,44,FRINGE BENEFITS,341045,341045,359141
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,6,SALARY PROVISION,791488,791488,872674
GRANTS,0S15,ARRA - CPD - TRANSIT SECURITY GRANT,57,DEPARTMENT OF POLICE,2947,2947 - ARRA TRANSIT SECURITY GRANT PM,5,SALARIES AND WAGES - ON PAYROLL,932285,932285,959057
GRANTS,0S16,ARRA - CPD - JAG,57,DEPARTMENT OF POLICE,2938,2938 - ARRA - BYRNE/JUSTICE ASSIST,445,TECH AND SCIENTIFIC EQUIP,3685000,3685000,627000
GRANTS,0S16,ARRA - CPD - JAG,57,DEPARTMENT OF POLICE,2938,2938 - ARRA - BYRNE/JUSTICE ASSIST,20,OVERTIME,6000000,6000000,1000000
GRANTS,0S16,ARRA - CPD - JAG,57,DEPARTMENT OF POLICE,2938,2938 - ARRA - BYRNE/JUSTICE ASSIST,450,VEHICLES,3649000,3649000,1170000
GRANTS,0S16,ARRA - CPD - JAG,57,DEPARTMENT OF POLICE,2938,2938 - ARRA - BYRNE/JUSTICE ASSIST,135,DELEGATE AGENCIES,7166000,7166000,7166000
GRANTS,0S21,ARRA - COPS HIRING RECOVERY PROJECT,57,DEPARTMENT OF POLICE,2956,2956 - COPS HIRING RECOVERY PROGRAM,15,SCHEDULE SALARY ADJ,85800,85800,87008
GRANTS,0S21,ARRA - COPS HIRING RECOVERY PROJECT,57,DEPARTMENT OF POLICE,2956,2956 - COPS HIRING RECOVERY PROGRAM,44,FRINGE BENEFITS,1091955,1091955,1203084
GRANTS,0S21,ARRA - COPS HIRING RECOVERY PROJECT,57,DEPARTMENT OF POLICE,2956,2956 - COPS HIRING RECOVERY PROGRAM,6,SALARY PROVISION,7837263,7837263,3001259
GRANTS,0S21,ARRA - COPS HIRING RECOVERY PROJECT,57,DEPARTMENT OF POLICE,2956,2956 - COPS HIRING RECOVERY PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,2984982,2984982,3208649
GRANTS,0S22,ARRA - PORT SECURITY,58,OEMC,2800,2800 - ARRA PORT SECURITY GRANT PROGR,140,PROF & TECHNICAL SERVICES,2757000,2757000,2757000
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,446,PURCHASE-DATA HARDWARE,1500,1500,0
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,15,SCHEDULE SALARY ADJ,1524,1524,2340
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,245,REIMBURSEMENT TRAVELERS,5000,5000,5000
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,44,FRINGE BENEFITS,22770,22770,24802
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,801,INDIRECT COSTS,0,0,29461
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,5,SALARIES AND WAGES - ON PAYROLL,50813,50813,66231
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,6,SALARY PROVISION,212366,212366,137600
GRANTS,0S26,ARRA - CPD - BREAK CODE OF SILENCE,57,DEPARTMENT OF POLICE,2965,2965 - ARRA - BREAK CODE OF SILENCE,140,PROF & TECHNICAL SERVICES,205027,205027,168566
GRANTS,0S27,ARRA -CFD - FIRE STATION CONSTRUCTION,59,FIRE DEPARTMENT,2923,2923 - ARRA - FIRE STATION CONSTRUCT,540,CONSTR BLDG/STRUCTURE,4800000,4800000,4800000
GRANTS,0S29,ARRA - STARCOM21,57,DEPARTMENT OF POLICE,2974,2974 - ARRA - ICJIA STARCOM 21,400,EQUIPMENT,174000,174000,0
GRANTS,0S31,ARRA - THERMAL EFFICIENCY FOR FACILITIES,38,FLEET AND FACILITY MANAGEMENT,2830,2830 - ARRA - THERMAL EFFICIENCIES,140,PROF & TECHNICAL SERVICES,173000,173000,0
GRANTS,0S35,ARTERIAL STREET RESURFACING,84,CHICAGO DEPT OF TRANSPORTATION,2935,2935 - ARRA - HIGHWAY INFRASTRUCTURE,140,PROF & TECHNICAL SERVICES,20756000,20756000,0
GRANTS,0S51,ARRA - URBAN AND COMMUNITY FORESTRY,72,DEPARTMENT OF ENVIRONMENT,2947,2947 - URBAN AND COMM FORESTRY,801,INDIRECT COSTS,97909,97909,0
GRANTS,0S51,ARRA - URBAN AND COMMUNITY FORESTRY,72,DEPARTMENT OF ENVIRONMENT,2947,2947 - URBAN AND COMM FORESTRY,140,PROF & TECHNICAL SERVICES,702091,702091,0
GRANTS,0S51,ARRA - URBAN AND COMMUNITY FORESTRY,84,CHICAGO DEPT OF TRANSPORTATION,2952,2952 - URBAN/COMM. FORESTRY PROGRAM,801,INDIRECT COSTS,0,0,97909
GRANTS,0S51,ARRA - URBAN AND COMMUNITY FORESTRY,84,CHICAGO DEPT OF TRANSPORTATION,2952,2952 - URBAN/COMM. FORESTRY PROGRAM,140,PROF & TECHNICAL SERVICES,0,0,323091
GRANTS,0S54,ARRA - ENERGY EFFICIENCY AND CONSERVATIO,38,FLEET AND FACILITY MANAGEMENT,2829,2829 - ENERGY EFFICIENCY AND CONSERVA,540,CONSTR BLDG/STRUCTURE,7500000,7500000,0
GRANTS,0S54,ARRA - ENERGY EFFICIENCY AND CONSERVATIO,72,DEPARTMENT OF ENVIRONMENT,2952,2952 - RESIDENTIAL ENERGY PROGRAM,140,PROF & TECHNICAL SERVICES,1312000,1312000,0
GRANTS,0S54,ARRA - ENERGY EFFICIENCY AND CONSERVATIO,84,CHICAGO DEPT OF TRANSPORTATION,2800,2800 - TRAFFIC SIGNALS/STREET LIGHTS,140,PROF & TECHNICAL SERVICES,5000000,5000000,0
GRANTS,0S55,ARRA - CHICAGO ALT. FUELS,84,CHICAGO DEPT OF TRANSPORTATION,2954,2954 - ALTERNATIVE FUELS DEPLOYMENT,15,SCHEDULE SALARY ADJ,0,0,618
GRANTS,0S55,ARRA - CHICAGO ALT. FUELS,84,CHICAGO DEPT OF TRANSPORTATION,2954,2954 - ALTERNATIVE FUELS DEPLOYMENT,44,FRINGE BENEFITS,0,0,23228
GRANTS,0S55,ARRA - CHICAGO ALT. FUELS,84,CHICAGO DEPT OF TRANSPORTATION,2954,2954 - ALTERNATIVE FUELS DEPLOYMENT,5,SALARIES AND WAGES - ON PAYROLL,0,0,62028
GRANTS,0S55,ARRA - CHICAGO ALT. FUELS,84,CHICAGO DEPT OF TRANSPORTATION,2954,2954 - ALTERNATIVE FUELS DEPLOYMENT,140,PROF & TECHNICAL SERVICES,0,0,4914126
GRANTS,0S56,ARRA - CHICAGO ALT. FUELS,72,DEPARTMENT OF ENVIRONMENT,2800,2800 - ARRA - CHICAGO ALT. FUELS,140,PROF & TECHNICAL SERVICES,13000000,13000000,0
GRANTS,0S57,ARRA - LOCAL ENERGY ASSURANCE,38,FLEET AND FACILITY MANAGEMENT,2840,2840 - LOCAL ENERGY ASSURANCE,140,PROF & TECHNICAL SERVICES,0,0,87000
GRANTS,0S57,ARRA - LOCAL ENERGY ASSURANCE,72,DEPARTMENT OF ENVIRONMENT,2961,2961 - ARRA - LOCAL ENERGY ASSURANCE,140,PROF & TECHNICAL SERVICES,300000,300000,0
GRANTS,0S60,ARRA - PCC SMART CHICAGO PUBLIC COMPUTER,6,DOIT,2818,2818 - ARRA - BTOP PUBLIC COMPUTER CR,44,FRINGE BENEFITS,0,0,29201
GRANTS,0S60,ARRA - PCC SMART CHICAGO PUBLIC COMPUTER,6,DOIT,2818,2818 - ARRA - BTOP PUBLIC COMPUTER CR,5,SALARIES AND WAGES - ON PAYROLL,0,0,77980
